Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	127	127	127	127	127	127	127	10
0	0	0	0	0	0	0	0	2048
1	499	499	499	499	499	499	499	2048
2	1500	1500	1500	1500	1500	1500	1500	2048
3	3750	3750	3750	3750	3750	3750	3750	2048
4	7875	7875	7875	7875	7875	7875	7875	2048
5	14175	14175	14175	14175	14175	14175	14175	2048
6	22680	22680	22680	22680	22680	22680	22680	2048
7	32886	32886	32886	32886	32886	32886	32886	2048
8	44396	44396	44396	44396	44396	44396	44396	2048
9	57715	57715	57715	57715	57715	57715	57715	2048
10	72144	72144	72144	72144	72144	72144	72144	2048
11	90180	90180	90180	90180	90180	90180	90180	2048
12	112725	112725	112725	112725	112725	112725	112725	2048
13	140906	140906	140906	140906	140906	140906	140906	2048
14	176132	176132	176132	176132	176132	176132	176132	2048
15	220165	220165	220165	220165	220165	220165	220165	2048
16	275207	275207	275207	275207	275207	275207	275207	2048
17	344008	344008	344008	344008	344008	344008	344008	2048
18	430010	430010	430010	430010	430010	430010	430010	2048
19	537513	537513	537513	537513	537513	537513	537513	2048
20	671891	671891	671891	671891	671891	671891	671891	2048
21	839864	839864	839864	839864	839864	839864	839864	2048
22	1049830	1049830	1049830	1049830	1049830	1049830	1049830	2048
23	1312287	1312287	1312287	1312287	1312287	1312287	1312287	2048
24	1640359	1640359	1640359	1640359	1640359	1640359	1640359	2048
25	2050449	2050449	2050449	2050449	2050449	2050449	2050449	2048
26	2563061	2563061	2563061	2563061	2563061	2563061	2563061	2048
27	3203826	3203826	3203826	3203826	3203826	3203826	3203826	2048
28	3902260	3902260	3902260	3902260	3902260	3902260	3902260	2048
29	4663553	4663553	4663553	4663553	4663553	4663553	4663553	2048
30	5493363	5493363	5493363	5493363	5493363	5493363	5493363	2048
31	6397855	6397855	6397855	6397855	6397855	6397855	6397855	2048
32	7383752	7383752	7383752	7383752	7383752	7383752	7383752	2048
33	8458379	8458379	8458379	8458379	8458379	8458379	8458379	2048
34	9629723	9629723	9629723	9629723	9629723	9629723	9629723	2048
35	10906488	10906488	10906488	10906488	10906488	10906488	10906488	2048
36	12298162	12298162	12298162	12298162	12298162	12298162	12298162	2048
37	13815086	13815086	13815086	13815086	13815086	13815086	13815086	2048
38	15468534	15468534	15468534	15468534	15468534	15468534	15468534	2048
39	17270791	17270791	17270791	17270791	17270791	17270791	17270791	2048
40	19235252	19235252	19235252	19235252	19235252	19235252	19235252	2048
41	21376515	21376515	21376515	21376515	21376515	21376515	21376515	2048
42	23710491	23710491	23710491	23710491	23710491	23710491	23710491	2048
43	26254525	26254525	26254525	26254525	26254525	26254525	26254525	2048
44	29027522	29027522	29027522	29027522	29027522	29027522	29027522	2048
45	32050088	32050088	32050088	32050088	32050088	32050088	32050088	2048
46	35344686	35344686	35344686	35344686	35344686	35344686	35344686	2048
47	38935798	38935798	38935798	38935798	38935798	38935798	38935798	2048
48	42850109	42850109	42850109	42850109	42850109	42850109	42850109	2048
49	47116709	47116709	47116709	47116709	47116709	47116709	47116709	2048
50	51767302	51767302	51767302	51767302	51767302	51767302	51767302	2048
51	56836449	56836449	56836449	56836449	56836449	56836449	56836449	2048
52	62361819	62361819	62361819	62361819	62361819	62361819	62361819	2048
53	68384473	68384473	68384473	68384473	68384473	68384473	68384473	2048
54	74949165	74949165	74949165	74949165	74949165	74949165	74949165	2048
55	82104680	82104680	82104680	82104680	82104680	82104680	82104680	2048
56	89904191	89904191	89904191	89904191	89904191	89904191	89904191	2048
57	98405658	98405658	98405658	98405658	98405658	98405658	98405658	2048
58	107672256	107672256	107672256	107672256	107672256	107672256	107672256	2048
59	117772849	117772849	117772849	117772849	117772849	117772849	117772849	2048
60	128782495	128782495	128782495	128782495	128782495	128782495	128782495	2048
61	140783010	140783010	140783010	140783010	140783010	140783010	140783010	2048
62	153863570	153863570	153863570	153863570	153863570	153863570	153863570	2048
63	168121381	168121381	168121381	168121381	168121381	168121381	168121381	2048
64	183662396	183662396	183662396	183662396	183662396	183662396	183662396	2048
65	200602101	200602101	200602101	200602101	200602101	200602101	200602101	2048
66	219066380	219066380	219066380	219066380	219066380	219066380	219066380	2048
67	239192444	239192444	239192444	239192444	239192444	239192444	239192444	2048
68	261129853	261129853	261129853	261129853	261129853	261129853	261129853	2048
69	285041630	285041630	285041630	285041630	285041630	285041630	285041630	2048
70	311105466	311105466	311105466	311105466	311105466	311105466	311105466	2048
71	339515048	339515048	339515048	339515048	339515048	339515048	339515048	2048
72	370481492	370481492	370481492	370481492	370481492	370481492	370481492	2048
73	404234916	404234916	404234916	404234916	404234916	404234916	404234916	2048
74	441026148	441026148	441026148	441026148	441026148	441026148	441026148	2048
75	481128591	481128591	481128591	481128591	481128591	481128591	481128591	2048
76	524605451	524605451	524605451	524605451	524605451	524605451	524605451	2048
77	571487475	571487475	571487475	571487475	571487475	571487475	571487475	2048
78	621769804	621769804	621769804	621769804	621769804	621769804	621769804	2048
79	675409370	675409370	675409370	675409370	675409370	675409370	675409370	2048
80	732322959	732322959	732322959	732322959	732322959	732322959	732322959	2048
81	792386030	792386030	792386030	792386030	792386030	792386030	792386030	2048
82	855432379	855432379	855432379	855432379	855432379	855432379	855432379	2048
83	921254700	921254700	921254700	921254700	921254700	921254700	921254700	2048
84	989606080	989606080	989606080	989606080	989606080	989606080	989606080	2048
85	1060202426	1060202426	1060202426	1060202426	1060202426	1060202426	1060202426	2048
86	1132725801	1132725801	1132725801	1132725801	1132725801	1132725801	1132725801	2048
87	1206828603	1206828603	1206828603	1206828603	1206828603	1206828603	1206828603	2048
88	1282138508	1282138508	1282138508	1282138508	1282138508	1282138508	1282138508	2048
89	1358264053	1358264053	1358264053	1358264053	1358264053	1358264053	1358264053	2048
90	1434800724	1434800724	1434800724	1434800724	1434800724	1434800724	1434800724	2048
91	1511337395	1511337395	1511337395	1511337395	1511337395	1511337395	1511337395	2048
92	1587874066	1587874066	1587874066	1587874066	1587874066	1587874066	1587874066	2048
93	1664410737	1664410737	1664410737	1664410737	1664410737	1664410737	1664410737	2048
94	1740947408	1740947408	1740947408	1740947408	1740947408	1740947408	1740947408	2048
95	1817484079	1817484079	1817484079	1817484079	1817484079	1817484079	1817484079	2048
96	1894020750	1894020750	1894020750	1894020750	1894020750	1894020750	1894020750	2048
97	1970557421	1970557421	1970557421	1970557421	1970557421	1970557421	1970557421	2048
98	2047094092	2047094092	2047094092	2047094092	2047094092	2047094092	2047094092	2048
